Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,Station,Year,Date,Time In,Time Out,Bait,Vis,FOV Bias,Habitat,Family,Genus,Species,Code,MaxN,Has fed
00003.MTS,6854,53.4187,Bottom Time,44.0807,SA_01,NWM,18.4,,SA01.040718,2018,04/07/2018,08:13,09:15,Mackerel,3,2,Gravel,Callionmidae,Callionymus,lyra,DRA,1,No
00004.MTS,1138,65.824,Bottom Time,56.486,SA_01,NWM,18.4,,SA01.040718,2018,04/07/2018,08:13,09:15,Mackerel,3,2,Gravel,Gadidae,Melanogrammus,aeglefinus,HAD,1,No
00003.MTS,14955,58.8193,Bottom Time,49.4813,SA_01,NWM,18.4,,SA01.040718,2018,04/07/2018,08:13,09:15,Mackerel,3,2,Gravel,Gadidae,Merlangius,merlangus,WHI,2,No
00003.MTS,22582,63.904,Bottom Time,54.566,SA_01,NWM,18.4,,SA01.040718,2018,04/07/2018,08:13,09:15,Mackerel,3,2,Gravel,Paguridae,Pagurus,bernhardus,HRC,1,No
00001.MTS,2682,18.2,Bottom Time,8.862,SA_01,NWM,18.4,,SA01.040718,2018,04/07/2018,08:13,09:15,Mackerel,3,2,Gravel,Pleuronectidae,Limanda,limanda,CDA,3,No
00003.MTS,8827,54.734,Bottom Time,45.396,SA_01,NWM,18.4,,SA01.040718,2018,04/07/2018,08:13,09:15,Mackerel,3,2,Gravel,Semaeostomeae,Cyanea,capillata,LOM,1,No
00001.MTS,1639,17.5047,Bottom Time,8.1667,SA_01,NWM,18.4,,SA01.040718,2018,04/07/2018,08:13,09:15,Mackerel,3,2,Gravel,Triglidae,Eutrigla,gurnardus,GGU,1,No
00000.MTS,27139,18.0927,Bottom Time,6.5267,SA_02,NWM,32.2,Right cam focus lost,SA02.040718,2018,04/07/2018,08:32,09:49,Mackerel,1,2,Mud,Gadidae,Melanogrammus,aeglefinus,HAD,1,No
00001.MTS,14307,46.8453,Bottom Time,35.2793,SA_02,NWM,32.2,Right cam focus lost,SA02.040718,2018,04/07/2018,08:32,09:49,Mackerel,1,2,Mud,Gadidae,Merlangius,merlangus,WHI,3,No
00001.MTS,27637,55.732,Bottom Time,44.166,SA_02,NWM,32.2,Right cam focus lost,SA02.040718,2018,04/07/2018,08:32,09:49,Mackerel,1,2,Mud,Gadidae,Trispoterus,minutus,PCO,4,No
